path_index,n4_c0,n4_c5,n4_c20,n16_c0,n16_c5,n16_c20,n64_c0,n64_c5,n64_c20,n256_c0,n256_c5,n256_c20
4344,-69.685774205528787,-76.837485089888446,-98.292617742964126,-17.919124440746216,-27.232000835659605,-55.170630020391556,-50.098064337062915,-68.154411151584981,-122.32345159516596,-26.425382588759135,-54.324621478183985,-138.02233814648642
4345,-108.52216010099717,-113.64586017162171,-129.01696038349243,-14.043759360154603,-19.310863527119064,-35.112176028010076,6.3909834834391903,-0.49221561270987452,-21.141812901153333,-5.6993527338447656,-17.390989614315671,-52.465900255732009
4346,-107.40355058157184,-116.13798995552133,-142.34130807736983,-4.2509916136184529,-15.551856797574828,-49.454452349435542,-9.1681685271456992,-28.222578161746391,-85.385807065554417,10.626235859821794,-21.274917305466804,-116.97837680135177
4347,-24.233089737260343,-33.716816988836399,-62.167998743568205,-24.183223177699801,-37.831247988014184,-78.775322418962787,-18.449328871419311,-37.859763735084016,-96.091068326098139,0.42542435439372639,-27.300572051134623,-110.4785612677033
4348,70.782849195272945,62.231969410486897,36.579330056130573,-36.573561377651743,-49.33599403507543,-87.623292007335124,8.8841226058199823,-19.177586478469777,-103.36271373130631,-7.2217745740375108,-53.016737984692838,-190.4016282166661
4349,62.398263634757484,52.159500600175477,21.443211496445826,53.751031769521603,40.632126452805267,1.275410502663533,6.096611768858736,-13.9634219339585,-74.143523042413847,-3.9191437947300187,-38.325782975525556,-141.54570051784123
4350,157.17418153628978,151.20019245105641,133.27822519535675,14.676107743028496,2.7039469387215433,-33.212535474189053,-14.173005480947722,-33.922349314275152,-93.170380814252667,-6.6321142356294924,-44.091719782304232,-156.47053642234869
4351,-217.34708471749718,-227.24602774635923,-256.94285683294265,-31.411056013538314,-42.913965029179735,-77.422692076107381,13.989026573275749,-3.5381972920876836,-56.119868888154627,-3.195731644932529,-35.15299789354097,-131.02479663937117
4352,-30.681527221074248,-39.017226402541382,-64.024323946933691,-40.583470419110093,-51.316456464598886,-83.515414601057543,-42.969929025069675,-61.529780483016864,-117.20933485687307,-18.396328985961414,-49.597310657204162,-143.20025567095163
4353,144.9273735278702,136.52024554212852,111.29886158490712,55.37795076300057,40.599396582829229,-3.7362659576902502,55.780583301468084,34.012771750947593,-31.290662900595692,-4.6629838440513254,-47.528598765122354,-176.1254435283609
4354,161.22405889292355,155.18756708167899,137.07809164794349,40.879051413527179,26.352329035460627,-17.227838098739028,-53.891565423038571,-83.949639425361909,-174.12386143236648,-19.329512097348868,-69.505009476808425,-220.03150161520347
4355,217.82493446540684,211.49325414006853,192.4982131640536,7.6355034174566754,-7.219603289022416,-51.7849234084606,45.939849799548938,20.800024736374326,-54.619450453165882,26.387496173047111,-22.201668859101119,-167.96916395553762
4356,-31.252397412036203,-41.309392917084892,-71.480379432230961,-28.154220512400912,-40.562451936565026,-77.78714620903736,-25.330755363357071,-40.590070647860898,-86.368016501310535,-3.4219833069877268,-23.667161345778709,-84.402695462169845
4357,141.14198090002583,134.16310905114506,113.22649350451184,130.79164523129793,118.96190262538994,83.472674807670501,67.26265834232936,44.060662337945814,-25.545325675204822,37.621146619173942,-6.5966107339941118,-139.24988279351282
4358,12.493258293665349,6.2658423761968152,-12.416405376205148,24.240693822597322,16.280420726535134,-7.6003985616481851,3.5684800021354808,-11.090247898147709,-55.066431599003202,-6.0189538213585667,-33.726348644211868,-116.8485331127516
