month,BusEq,RF,excess,fitted,residual,wealth_BusEq,wealth_market
201912,0.0632,0.0014000000000000002,0.06180000000000001,0.03263495534297051,0.029165044657029494,2.3797209270742816,1.72268578315199
202001,0.0097,0.0013,0.008400000000000001,0.03044245379446199,-0.02204245379446199,2.402804220066902,1.7230303203086204
202002,-0.0902,0.0012,-0.09140000000000001,-0.07663212648561493,-0.014767873514385077,2.1860712794168675,1.584670985587838
202003,-0.0865,0.0012,-0.0877,-0.09783866863874452,0.010138668638744519,1.9969761137473083,1.3747020799974496
202004,0.1397,0,0.1397,0.1720518271820686,-0.03235182718206861,2.275953676837807,1.561661562877103
202005,0.0802,0.0001,0.08009999999999999,0.09031081141900316,-0.010210811419003166,2.458485161720199,1.6488022780856453
202006,0.0663,0.0001,0.0662,0.04239492943085308,0.023805070569146915,2.621482727942248,1.689362814126552
202007,0.0952,0.0001,0.0951,0.08273383424071364,0.012366165759286368,2.87104788364235,1.7880216024715427
202008,0.1176,0.0001,0.1175,0.1087459822297281,0.00875401777027189,3.20868311475869,1.9244476507401216
202009,-0.0514,0.0001,-0.051500000000000004,-0.02651787776250713,-0.024982122237492875,3.043756802660093,1.8545902010182551
202010,-0.0318,0.0001,-0.031900000000000005,-0.03658916796757439,0.004689167967574383,2.946965336335502,1.816200183857177
202011,0.1173,0.0001,0.1172,0.14358981478191718,-0.02638981478191718,3.2926443702876567,2.0424987267657815
202012,0.0721,0.0001,0.072,0.06516018423177633,0.006839815768223664,3.530044029385397,2.1372706676877136
202101,0.0126,0,0.0126,-0.010396705351852772,0.022996705351852772,3.5745225841556527,2.135774578220332
202102,-0.019,0,-0.019,0.01183549280895408,-0.03083549280895408,3.506606655056695,2.1957898438683237
202103,0.0169,0,0.0169,0.018035690821557662,-0.0011356908215576639,3.565868307527153,2.2653963819189498
202104,0.0407,0,0.0407,0.07116278428025208,-0.030462784280252078,3.7109991476435082,2.377533502823938
202105,-0.0076,0,-0.0076,-0.016165196774392716,0.008565196774392717,3.6827955541214172,2.38466610333241
202106,0.0742,0,0.0742,0.06778267339636983,0.006417326603630175,3.9560589842372265,2.4500059545637183
202107,0.0359,0,0.0359,0.03155890843840642,0.0043410915615935824,4.098081501771343,2.482836034354872
202108,0.0403,0,0.0403,0.042639586874539226,-0.0023395868745392234,4.2632341862927285,2.5558314137649054
202109,-0.0582,0,-0.0582,-0.06536744412018833,0.0071674441201883266,4.015113956650492,2.4433748315592494
202110,0.0715,0,0.0715,0.08878219403472806,-0.01728219403472807,4.302194604551001,2.6053705828916276
202111,0.0876,0,0.0876,-0.01005549806960531,0.0976554980696053,4.679066851909669,2.56420572768194
202112,0.0438,0.0001,0.043699999999999996,0.03375896658572121,0.009941033414278787,4.884009980023312,2.647285993258835
202201,-0.0772,0,-0.0772,-0.11164137683225017,0.03444137683225017,4.506964409565512,2.484213176074091
202202,-0.0266,0,-0.0266,-0.03325396537884359,0.006653965378843593,4.38707915627107,2.4275731156596017
202203,0.0435,0,0.0435,0.05128289207208197,-0.007782892072081972,4.577917099568862,2.5023423676219174
202204,-0.1241,0,-0.1241,-0.1278215105071026,0.0037215105071026072,4.009797587512366,2.266871950828695
202205,-0.0086,0.0003,-0.0089,-0.028107243756905938,0.01920724375690594,3.9753133282597592,2.259844647781126
202206,-0.1018,0.0006,-0.1024,-0.0719786738954501,-0.03042132610454991,3.570626431442916,2.07137360415618
202207,0.1579,0.0008,0.15710000000000002,0.1343768914188126,0.022723108581187423,4.134428344967752,2.271261156957251
202208,-0.0586,0.0019,-0.0605,-0.03973312615137661,-0.020766873848623385,3.8921508439526415,2.1899500075381817
202209,-0.1167,0.0019,-0.1186,-0.10421232241743023,-0.014387677582569772,3.4379368404633683,1.989569581848438
202210,0.0883,0.0023,0.08600000000000001,0.07006109417384394,0.015938905826156063,3.741506663476284,2.150326804061792
202211,0.0519,0.0029,0.049,0.05841422381699019,-0.00941422381699019,3.935690859310703,2.2565529481824442
202212,-0.0911,0.0033,-0.0944,-0.07391302557608384,-0.020486974423916157,3.577149422027498,2.120031494817406
202301,0.0985,0.0034999999999999996,0.095,0.09721457385919093,-0.002214573859190924,3.929498640097207,2.2675856868566977
202302,0.0136,0.0034000000000000002,0.010199999999999999,-0.02156551183018568,0.03176551183018568,3.982939821602529,2.2170185260397934
202303,0.0985,0.0036,0.0949,0.0732546037948952,0.02164539620510479,4.375259394030379,2.2799818521793234
202304,-0.0183,0.0034999999999999996,-0.0218,0.01635831494797578,-0.03815831494797578,4.295192147119623,2.302097676145463
202305,0.0826,0.0036,0.079,0.03901785760989861,0.039982142390101394,4.649975018471705,2.3182123598784816
202306,0.0802,0.004,0.07619999999999999,0.08311800035500197,-0.00691800035500198,5.022903014953136,2.4772417277661454
202307,0.0349,0.0045000000000000005,0.0304,0.02837876469087347,0.0020212353091265296,5.198202330175,2.5679087750023863
202308,-0.0152,0.0045000000000000005,-0.019700000000000002,-0.015368086272570754,-0.0043319137274292485,5.11918965475634,2.5188617173998407
