month,BusEq,Mkt-RF,SMB,HML,RF
202003,-0.0865,-0.13369999999999999,-0.046900000000000004,-0.1383,0.0012
202004,0.1397,0.136,0.025,-0.0134,0.0
202005,0.0802,0.0557,0.024,-0.05,0.0001
202006,0.0663,0.0245,0.026699999999999998,-0.0217,0.0001
202007,0.0952,0.0583,-0.0235,-0.0144,0.0001
202008,0.1176,0.0762,-0.002,-0.0302,0.0001
202009,-0.0514,-0.0364,0.0006,-0.027200000000000002,0.0001
202010,-0.0318,-0.0208,0.0434,0.0425,0.0001
202011,0.1173,0.1245,0.0581,0.0209,0.0001
202012,0.0721,0.0463,0.0501,-0.0168,0.0001
202101,0.0126,-0.0007000000000000001,0.07139999999999999,0.0322,0.0
202102,-0.019,0.0281,0.0202,0.07200000000000001,0.0
202103,0.0169,0.0317,-0.0233,0.0735,0.0
202104,0.0407,0.0495,-0.0319,-0.0102,0.0
202105,-0.0076,0.003,-0.002,0.0704,0.0
202106,0.0742,0.0274,0.017,-0.0786,0.0
202107,0.0359,0.0134,-0.0393,-0.018000000000000002,0.0
202108,0.0403,0.0294,-0.0032,-0.0023,0.0
202109,-0.0582,-0.044000000000000004,0.0066,0.0512,0.0
202110,0.0715,0.0663,-0.0226,-0.0053,0.0
202111,0.0876,-0.0158,-0.0131,-0.0037,0.0
202112,0.0438,0.0323,-0.0163,0.0325,0.0001
202201,-0.0772,-0.0616,-0.0593,0.1286,0.0
202202,-0.0266,-0.022799999999999997,0.0216,0.030600000000000002,0.0
202203,0.0435,0.0308,-0.0155,-0.019,0.0
202204,-0.1241,-0.0941,-0.013500000000000002,0.061799999999999994,0.0
202205,-0.0086,-0.0034000000000000002,-0.0184,0.08439999999999999,0.0003
202206,-0.1018,-0.084,0.0207,-0.06,0.0006
202207,0.1579,0.09570000000000001,0.0286,-0.041299999999999996,0.0008
202208,-0.0586,-0.0377,0.0141,0.0018,0.0019
202209,-0.1167,-0.0934,-0.0076,0.0003,0.0019
202210,0.0883,0.0785,0.0001,0.0797,0.0023
202211,0.0519,0.04650000000000001,-0.035699999999999996,0.0148,0.0029
202212,-0.0911,-0.0638,-0.0076,0.0134,0.0033
202301,0.0985,0.0661,0.0501,-0.0394,0.0034999999999999996
202302,0.0136,-0.025699999999999997,0.0105,-0.008,0.0034000000000000002
202303,0.0985,0.0248,-0.0548,-0.09050000000000001,0.0036
202304,-0.0183,0.0062,-0.0337,-0.0012,0.0034999999999999996
202305,0.0826,0.0034000000000000002,0.016,-0.0779,0.0036
202306,0.0802,0.0646,0.0149,-0.0013,0.004
202307,0.0349,0.0321,0.020499999999999997,0.0406,0.0045000000000000005
202308,-0.0152,-0.0236,-0.0313,-0.0115,0.0045000000000000005
202309,-0.0791,-0.052300000000000006,-0.025,0.015,0.0043
202310,-0.0388,-0.0315,-0.0387,0.0022,0.004699999999999999
202311,0.1213,0.0888,-0.0011,0.0166,0.0044
202312,0.0629,0.048499999999999995,0.06280000000000001,0.0487,0.0043
202401,0.0234,0.0073,-0.0504,-0.023700000000000002,0.004699999999999999
202402,0.0798,0.0507,-0.0026,-0.034300000000000004,0.0042
202403,0.0295,0.028399999999999998,-0.025,0.0416,0.0043
202404,-0.0353,-0.04650000000000001,-0.023799999999999998,-0.0045000000000000005,0.004699999999999999
202405,0.134,0.0433,0.0053,-0.013300000000000001,0.0044
202406,0.0777,0.027999999999999997,-0.03,-0.0336,0.0040999999999999995
202407,0.0033,0.012199999999999999,0.0681,0.0557,0.0045000000000000005
202408,0.0146,0.016,-0.0349,-0.0113,0.0048
202409,0.0224,0.0172,-0.0013,-0.0273,0.004
202410,0.0,-0.01,-0.0095,0.0091,0.0039000000000000003
202411,0.035,0.0649,0.0449,0.0038,0.004
202412,0.025,-0.0317,-0.027000000000000003,-0.0297,0.0037
202501,-0.0444,0.027999999999999997,-0.02,0.0176,0.0037
202502,-0.0074,-0.024399999999999998,-0.057699999999999994,0.0484,0.0033
202503,-0.0982,-0.0639,-0.027200000000000002,0.0287,0.0034000000000000002
202504,-0.0117,-0.0084,-0.005699999999999999,-0.0329,0.0034999999999999996
202505,0.0929,0.060599999999999994,0.0060999999999999995,-0.0281,0.0038
202506,0.108,0.048600000000000004,0.0070999999999999995,-0.0143,0.0034000000000000002
202507,0.0613,0.019799999999999998,0.003,-0.0134,0.0034000000000000002
202508,0.034,0.0184,0.038,0.0437,0.0038
202509,0.0815,0.0339,-0.0183,-0.0105,0.0033
202510,0.0917,0.0196,-0.005699999999999999,-0.0318,0.0037
202511,-0.0288,-0.0013,0.004,0.037599999999999995,0.003
202512,-0.0066,-0.0036,-0.0104,0.024,0.0034000000000000002
