month,date,close,adjusted_close,nominal_value,cpi_u_nsa,real_value,equivalent_annualized_value
2018-09,2018-09-28,267.04998779296875,236.4389190673828,15076.34955136575,252.439,14125.921817297583,14615.321580516827
2018-10,2018-10-31,248.7899932861328,220.27195739746094,14045.475419980425,252.885,13136.825330529175,14784.361350360034
2018-11,2018-11-30,253.47999572753906,224.42437744140625,14310.251355826991,252.038,13429.451915730879,14955.356222157801
2018-12,2018-12-31,229.80999755859375,204.5691680908203,13044.198889652125,251.233,12280.548902313665,15128.328808480279
2019-01,2019-01-31,248.00999450683594,220.77017211914062,14077.243706374673,251.712,13227.895641249801,15303.301983432984
2019-02,2019-02-28,256.07000732421875,227.9448699951172,14534.732911325898,252.776,13600.293152242926,15480.298885681721
2019-03,2019-03-29,259.5400085449219,232.33432006835938,14814.622888422298,254.202,13784.42608116413,15659.342921512447
2019-04,2019-04-30,270.010009765625,241.7068634033203,15412.256053302925,255.548,14264.96729775805,15840.457767926568
2019-05,2019-05-31,252.8699951171875,226.36351013183594,14433.898690972634,256.092,13331.060274754003,16023.667375771995
2019-06,2019-06-28,269.1499938964844,242.18893432617188,15442.994942526946,256.143,14260.215499862134,16208.995972910452
2019-07,2019-07-31,273.0799865722656,245.7251739501953,15668.480598101161,256.571,14444.295627587986,16396.468067421378
2019-08,2019-08-30,268.6000061035156,241.69398498535156,15411.434870683197,256.558,14208.052887800588,16586.10845084292
2019-09,2019-09-30,272.6000061035156,246.46092224121094,15715.395033596487,256.759,14476.936778541001,16777.942201450394
2019-10,2019-10-31,278.54998779296875,251.84024047851562,16058.403208450009,257.346,14759.171772161364,16971.994687572667
2019-11,2019-11-29,288.6499938964844,260.9718322753906,16640.672280027164,257.208,15302.537289016767,17168.291570946883
2019-12,2019-12-31,295.79998779296875,268.7322998046875,17135.512645628565,256.974,15771.93462571037,17366.858810112022
2020-01,2020-01-31,295.69000244140625,268.63238525390625,17129.141669569348,257.971,15705.138303898075,17567.722663841676
2020-02,2020-02-28,271.739990234375,246.8739471435547,15741.731255339146,258.678,14393.620582999296,17770.909694616545
2020-03,2020-03-31,236.82000732421875,216.159423828125,13783.24281513856,258.115,12630.345027800196,17976.446772137086
2020-04,2020-04-30,267.1000061035156,243.79779052734375,15545.582446151242,256.389,14341.17254670022,18184.361076876812
2020-05,2020-05-29,279.75,255.34410095214844,16281.824231892631,256.394,15020.080331241777,18394.680103676656
2020-06,2020-06-30,283.42999267578125,260.04779052734375,16581.751454096477,257.797,15213.515916322413,18607.43166538091
