date,VOO,AMZN,GOOGL,RF
2024-09-11,497.0845032,184.5200043,150.1059418,0.0002
2024-09-12,501.3581238,187,153.6113281,0.0002
2024-09-13,504.021759,186.4900055,156.3619995,0.0002
2024-09-16,504.7828064,184.8899994,156.9578094,0.0002
2024-09-17,505.0170593,186.8800049,158.2090454,0.0002
2024-09-18,503.3777771,186.4299927,158.6956329,0.0002
2024-09-19,512.1591797,189.8699951,161.0093536,0.0002
2024-09-20,511.1542358,191.6000061,162.4492493,0.0002
2024-09-23,512.4129028,193.8800049,160.7213898,0.0002
2024-09-24,513.8862305,193.9600067,161.1583252,0.0002
2024-09-25,512.8422241,192.5299988,160.3639069,0.0002
2024-09-26,514.8814697,191.1600037,161.5952454,0.0002
2024-09-27,514.2148438,187.9700012,162.8067322,0.0002
2024-09-30,516.4562378,186.3300018,164.6934967,0.0002
2024-10-01,511.6309814,185.1300049,165.8255615,0.0002
2024-10-02,511.7190552,184.7599945,164.7034302,0.0002
2024-10-03,510.7501221,181.9600067,164.7034302,0.0002
2024-10-04,515.4578857,186.5099945,165.8950653,0.0002
2024-10-07,510.8185425,180.8000031,161.8435211,0.0002
2024-10-08,515.6535645,182.7200012,163.2337494,0.0002
2024-10-09,519.177124,185.1699982,160.7313232,0.0002
2024-10-10,518.3060913,186.6499939,160.9497833,0.0002
2024-10-11,521.3892212,188.8200073,162.1016998,0.0002
2024-10-14,525.6564331,187.5399933,163.8097382,0.0002
2024-10-15,521.6533203,187.6900024,164.3062286,0.0002
2024-10-16,523.8457642,186.8899994,164.0083008,0.0002
2024-10-17,523.9240723,187.5299988,161.793869,0.0002
2024-10-18,525.9403076,188.9900055,162.2804413,0.0002
2024-10-21,525.1280518,189.0700073,162.9259338,0.0002
2024-10-22,524.7657471,189.6999969,163.9884491,0.0002
2024-10-23,519.9797974,184.7100067,161.644928,0.0002
2024-10-24,521.1542969,186.3800049,161.5853271,0.0002
2024-10-25,520.9486694,187.8300018,164.117569,0.0002
2024-10-28,522.5733643,188.3899994,165.5574341,0.0002
2024-10-29,523.4052734,190.8300018,168.4968109,0.0002
2024-10-30,521.8295898,192.7299957,173.243454,0.0002
2024-10-31,511.5625,186.3999939,169.9168091,0.0002
2024-11-01,513.7842407,197.9299927,170.0955505,0.0002
2024-11-04,512.668457,195.7799988,168.0598602,0.0002
2024-11-05,518.8345337,199.5,168.5563965,0.0002
2024-11-06,531.7540894,207.0899963,175.2791748,0.0002
2024-11-07,535.894165,210.0500031,179.4895782,0.0002
2024-11-08,538.2627563,208.1799927,177.1063385,0.0002
2024-11-11,538.703186,206.8399963,179.092392,0.0002
