month,BusEq_percent,return_decimal,loss_decimal,source_line
200711,-7.58,-0.0758,0.0758,989
200712,0.39,0.0039,-0.0039,990
200801,-14.17,-0.1417,0.1417,991
200802,-1.75,-0.0175,0.0175,992
200803,0.36,0.0036,-0.0036,993
200804,6.80,0.0680,-0.0680,994
200805,6.23,0.0623,-0.0623,995
200806,-9.74,-0.0974,0.0974,996
200807,0.30,0.0030,-0.0030,997
200808,2.93,0.0293,-0.0293,998
200809,-15.81,-0.1581,0.1581,999
200810,-17.68,-0.1768,0.1768,1000
200811,-11.63,-0.1163,0.1163,1001
200812,1.84,0.0184,-0.0184,1002
200901,-3.08,-0.0308,0.0308,1003
200902,-6.87,-0.0687,0.0687,1004
200903,13.08,0.1308,-0.1308,1005
200904,14.28,0.1428,-0.1428,1006
200905,2.18,0.0218,-0.0218,1007
200906,4.55,0.0455,-0.0455,1008
200907,10.36,0.1036,-0.1036,1009
200908,2.19,0.0219,-0.0219,1010
200909,5.61,0.0561,-0.0561,1011
200910,-3.90,-0.0390,0.0390,1012
200911,4.34,0.0434,-0.0434,1013
200912,6.63,0.0663,-0.0663,1014
201001,-8.05,-0.0805,0.0805,1015
201002,6.25,0.0625,-0.0625,1016
201003,8.19,0.0819,-0.0819,1017
201004,3.83,0.0383,-0.0383,1018
201005,-7.24,-0.0724,0.0724,1019
201006,-6.05,-0.0605,0.0605,1020
201007,6.45,0.0645,-0.0645,1021
201008,-8.40,-0.0840,0.0840,1022
201009,13.79,0.1379,-0.1379,1023
201010,4.48,0.0448,-0.0448,1024
201011,1.03,0.0103,-0.0103,1025
201012,5.20,0.0520,-0.0520,1026
201101,4.85,0.0485,-0.0485,1027
201102,3.07,0.0307,-0.0307,1028
201103,-2.50,-0.0250,0.0250,1029
201104,3.05,0.0305,-0.0305,1030
201105,-1.28,-0.0128,0.0128,1031
201106,-3.47,-0.0347,0.0347,1032
201107,-1.57,-0.0157,0.0157,1033
201108,-7.23,-0.0723,0.0723,1034
201109,-5.34,-0.0534,0.0534,1035
201110,12.08,0.1208,-0.1208,1036
201111,-1.99,-0.0199,0.0199,1037
201112,-0.75,-0.0075,0.0075,1038
201201,10.66,0.1066,-0.1066,1039
201202,7.37,0.0737,-0.0737,1040
201203,5.34,0.0534,-0.0534,1041
201204,-3.26,-0.0326,0.0326,1042
201205,-8.08,-0.0808,0.0808,1043
201206,1.68,0.0168,-0.0168,1044
201207,0.71,0.0071,-0.0071,1045
201208,5.40,0.0540,-0.0540,1046
201209,-0.28,-0.0028,0.0028,1047
201210,-7.27,-0.0727,0.0727,1048
201211,1.68,0.0168,-0.0168,1049
201212,-0.61,-0.0061,0.0061,1050
201301,-0.87,-0.0087,0.0087,1051
201302,0.40,0.0040,-0.0040,1052
201303,3.01,0.0301,-0.0301,1053
201304,-0.86,-0.0086,0.0086,1054
201305,5.40,0.0540,-0.0540,1055
201306,-3.39,-0.0339,0.0339,1056
201307,7.12,0.0712,-0.0712,1057
201308,-0.49,-0.0049,0.0049,1058
201309,2.67,0.0267,-0.0267,1059
201310,4.55,0.0455,-0.0455,1060
201311,3.60,0.0360,-0.0360,1061
201312,3.51,0.0351,-0.0351,1062
201401,-2.79,-0.0279,0.0279,1063
201402,4.66,0.0466,-0.0466,1064
201403,1.57,0.0157,-0.0157,1065
201404,0.94,0.0094,-0.0094,1066
201405,4.43,0.0443,-0.0443,1067
201406,3.45,0.0345,-0.0345,1068
201407,-0.46,-0.0046,0.0046,1069
201408,5.13,0.0513,-0.0513,1070
201409,-1.77,-0.0177,0.0177,1071
201410,2.92,0.0292,-0.0292,1072
201411,6.47,0.0647,-0.0647,1073
201412,-1.64,-0.0164,0.0164,1074
201501,-2.26,-0.0226,0.0226,1075
201502,8.43,0.0843,-0.0843,1076
201503,-3.08,-0.0308,0.0308,1077
201504,-0.06,-0.0006,0.0006,1078
201505,4.09,0.0409,-0.0409,1079
201506,-4.87,-0.0487,0.0487,1080
201507,-0.81,-0.0081,0.0081,1081
201508,-6.31,-0.0631,0.0631,1082
201509,-1.71,-0.0171,0.0171,1083
201510,8.54,0.0854,-0.0854,1084
201511,0.31,0.0031,-0.0031,1085
201512,-4.57,-0.0457,0.0457,1086
201601,-7.72,-0.0772,0.0772,1087
201602,1.45,0.0145,-0.0145,1088
201603,8.83,0.0883,-0.0883,1089
201604,-5.42,-0.0542,0.0542,1090
201605,5.53,0.0553,-0.0553,1091
201606,-1.37,-0.0137,0.0137,1092
201607,7.98,0.0798,-0.0798,1093
201608,2.33,0.0233,-0.0233,1094
201609,3.99,0.0399,-0.0399,1095
201610,-2.24,-0.0224,0.0224,1096
201611,2.41,0.0241,-0.0241,1097
201612,2.07,0.0207,-0.0207,1098
201701,3.28,0.0328,-0.0328,1099
201702,6.70,0.0670,-0.0670,1100
201703,2.37,0.0237,-0.0237,1101
201704,0.85,0.0085,-0.0085,1102
201705,4.53,0.0453,-0.0453,1103
201706,-3.37,-0.0337,0.0337,1104
201707,3.05,0.0305,-0.0305,1105
201708,4.92,0.0492,-0.0492,1106
201709,1.07,0.0107,-0.0107,1107
201710,7.12,0.0712,-0.0712,1108
201711,2.52,0.0252,-0.0252,1109
201712,-0.83,-0.0083,0.0083,1110
201801,5.51,0.0551,-0.0551,1111
201802,1.98,0.0198,-0.0198,1112
201803,-2.71,-0.0271,0.0271,1113
201804,-2.05,-0.0205,0.0205,1114
201805,7.79,0.0779,-0.0779,1115
201806,-2.01,-0.0201,0.0201,1116
201807,2.76,0.0276,-0.0276,1117
201808,9.59,0.0959,-0.0959,1118
201809,-0.18,-0.0018,0.0018,1119
201810,-8.18,-0.0818,0.0818,1120
201811,-4.70,-0.0470,0.0470,1121
201812,-9.01,-0.0901,0.0901,1122
201901,7.46,0.0746,-0.0746,1123
201902,7.38,0.0738,-0.0738,1124
201903,4.35,0.0435,-0.0435,1125
201904,5.30,0.0530,-0.0530,1126
